cell_id,p1_2017,p2_2017,qol_2017,p1_2018,p2_2018,qol_2018,p1_2022,p2_2022,qol_2022,p1_2023,p2_2023,qol_2023,crime_early_17_18,crime_recent_22_23,crime_total_pre2024,crime_change_early_to_recent,qol_pct_pre2024,viol_2017,viol_2018,viol_2019,viol_2020,viol_2021,viol_2022,viol_2023,viol_total_pre2024,viol_early_17_18,viol_recent_22_23,viol_change_early_to_recent,vacant,high_vacancy,value_growth_10_18,med_value_2010,med_value_2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0.0,2,0,0,3,1,1,4,11,2,5,3,1,0,0.0,127000.0,127000.0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,2,2,1,1,0,8,2,1,-1,0,0,0.0,110100.0,110100.0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,1,1,0,0,0.0,66600.0,66600.0
14,0,0,0,0,0,0,3,0,0,3,7,1,0,13,13,13,0.07692307692307693,18,19,43,21,30,56,13,200,37,69,32,5,1,0.0,61000.0,61000.0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,2,1,0,-1,1,0,0.0,125000.0,125000.0
28,0,0,0,3,0,0,1,0,0,1,1,0,3,3,6,0,0.0,4,1,1,3,4,20,3,36,5,23,18,1,0,0.05649717514124294,88500.0,93500.0
29,0,0,0,28,0,0,13,0,0,51,5,0,28,69,97,41,0.0,0,0,0,0,4,0,0,4,0,0,0,0,0,0.36363636363636365,660000.0,900000.0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
32,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,-2,0.0,6,3,7,5,5,13,18,57,9,31,22,0,0,0.022727272727272728,66000.0,67500.0
